line_id,order_id,product_id,product_name,category,quantity,unit_price,line_total
26961,110709,1120,Massage Ball Set,Beauty & Health,1,34.73,34.73
45959,117303,1088,Fitness Tracker Band,Sports & Outdoors,2,99.21,198.42
46927,117644,1023,Mini Projector,Electronics,1,46.86,46.86
5377,102093,1011,Action Camera,Electronics,3,245.79,737.37
865,100330,1118,Eye Mask Sleep,Beauty & Health,1,16.76,16.76
43814,116561,1037,The Signal and the Noise,Books,1,31.66,31.66
40111,115280,1070,Travel Mug 500ml,Home & Kitchen,2,70.5,141.0
30861,112123,1011,Action Camera,Electronics,1,245.79,245.79
45973,117308,1104,Lip Balm 3-Pack,Beauty & Health,1,25.05,25.05
10166,104008,1037,The Signal and the Noise,Books,1,31.66,31.66
33275,112947,1120,Massage Ball Set,Beauty & Health,1,34.73,34.73
14688,105806,1009,Smart Plug,Electronics,2,85.4,170.8
5912,102309,1060,Dish Drying Rack,Home & Kitchen,1,58.11,58.11
11869,104676,1079,Water Bottle 1L,Sports & Outdoors,1,48.51,48.51
11893,104684,1103,Hand Cream Set,Beauty & Health,2,29.28,58.56
47915,117987,1084,Swim Goggles,Sports & Outdoors,2,37.7,75.4
30021,111842,1112,Deodorant Roll-On,Beauty & Health,2,32.11,64.22
11536,104544,1104,Lip Balm 3-Pack,Beauty & Health,1,25.05,25.05
46787,117595,1147,Linen Shirt,Clothing & Accessories,2,51.41,102.82
12525,104936,1015,USB Flash Drive 64GB,Electronics,1,257.21,257.21
13534,105348,1045,Good Strategy Bad Strategy,Books,1,10.45,10.45
24177,109604,1133,Waterproof Jacket,Clothing & Accessories,3,64.19,192.57
27749,111024,1022,Tablet Stylus,Electronics,2,87.44,174.88
28216,111206,1055,Blender 600W,Home & Kitchen,1,45.84,45.84
45101,117006,1129,Baseball Cap,Clothing & Accessories,1,14.76,14.76
30702,112073,1038,Algorithms to Live By,Books,2,25.7,51.4
1416,100557,1149,Crossbody Bag,Clothing & Accessories,3,37.8,113.4
8046,103148,1114,Magnesium Tablets,Beauty & Health,1,30.14,30.14
11739,104628,1041,Data Smart,Books,1,23.16,23.16
31740,112423,1068,Water Filter Pitcher,Home & Kitchen,2,16.77,33.54
6572,102557,1065,Mixing Bowl Set,Home & Kitchen,1,79.42,79.42
35186,113590,1008,LED Desk Lamp,Electronics,2,203.07,406.14
46662,117555,1136,Gloves Touchscreen,Clothing & Accessories,1,63.11,63.11
3160,101238,1024,Smart Watch Band,Electronics,1,52.67,52.67
14149,105594,1082,Running Armband,Sports & Outdoors,2,36.73,73.46
13909,105502,1072,Photo Frame 20x30,Home & Kitchen,1,30.94,30.94
26049,110345,1014,Wireless Mouse,Electronics,1,50.41,50.41
2925,101136,1102,Sunscreen SPF50,Beauty & Health,1,47.43,47.43
20365,108078,1006,Mechanical Keyboard,Electronics,2,84.91,169.82
16577,106559,1006,Mechanical Keyboard,Electronics,1,84.91,84.91
14213,105617,1115,Protein Bars 12-Pack,Beauty & Health,1,12.87,12.87
23890,109487,1087,Camping Mug,Sports & Outdoors,1,63.05,63.05
24948,109919,1031,Atomic Habits,Books,1,34.72,34.72
16020,106330,1072,Photo Frame 20x30,Home & Kitchen,1,30.94,30.94
39892,115201,1050,Range,Books,1,34.22,34.22
47039,117681,1132,Canvas Backpack,Clothing & Accessories,1,34.02,34.02
8616,103383,1015,USB Flash Drive 64GB,Electronics,1,257.21,257.21
40722,115489,1058,Food Storage Containers,Home & Kitchen,1,82.1,82.1
35587,113724,1023,Mini Projector,Electronics,1,46.86,46.86
18989,107536,1099,Bike Light Set,Sports & Outdoors,2,71.44,142.88
14312,105659,1090,Pull-Up Bar,Sports & Outdoors,1,57.75,57.75
37573,114424,1106,Nail Clipper Set,Beauty & Health,2,18.26,36.52
7131,102779,1024,Smart Watch Band,Electronics,1,52.67,52.67
42854,116226,1133,Waterproof Jacket,Clothing & Accessories,1,64.19,64.19
25094,109974,1116,First Aid Kit Basic,Beauty & Health,1,9.01,9.01
20478,108120,1052,Salt, Pepper & Spice Rack,Home & Kitchen,2,63.86,127.72
14840,105862,1078,Jump Rope Speed,Sports & Outdoors,3,25.07,75.21
9783,103857,1080,Foam Roller,Sports & Outdoors,1,36.85,36.85
7461,102911,1021,Noise Cancelling Headphones,Electronics,2,218.05,436.1
18767,107445,1120,Massage Ball Set,Beauty & Health,1,34.73,34.73
40935,115562,1138,Wallet RFID-Block,Clothing & Accessories,1,18.73,18.73
40002,115241,1031,Atomic Habits,Books,2,34.72,69.44
15125,105977,1011,Action Camera,Electronics,3,245.79,737.37
35441,113674,1121,Teeth Whitening Strips,Beauty & Health,1,25.96,25.96
45522,117148,1139,Watch Strap Nylon,Clothing & Accessories,1,16.96,16.96
45098,117005,1034,The Art of Statistics,Books,2,14.18,28.36
16506,106531,1118,Eye Mask Sleep,Beauty & Health,1,16.76,16.76
33086,112882,1099,Bike Light Set,Sports & Outdoors,1,71.44,71.44
32060,112537,1091,Tennis Balls 3-Pack,Sports & Outdoors,1,90.74,90.74
30925,112142,1121,Teeth Whitening Strips,Beauty & Health,2,25.96,51.92
10404,104106,1058,Food Storage Containers,Home & Kitchen,2,82.1,164.2
28506,111320,1110,Body Lotion 200ml,Beauty & Health,1,12.74,12.74
7794,103049,1128,Wool Socks 3-Pack,Clothing & Accessories,1,74.9,74.9
32174,112571,1098,Trekking Poles,Sports & Outdoors,1,59.86,59.86
35929,113842,1047,The Black Swan,Books,1,29.39,29.39
8025,103140,1134,Beanie Hat Knit,Clothing & Accessories,2,49.76,99.52
36368,113999,1083,Cycling Gloves,Sports & Outdoors,1,104.84,104.84
32580,112711,1135,Scarf Lightweight,Clothing & Accessories,1,52.51,52.51
22782,109035,1088,Fitness Tracker Band,Sports & Outdoors,1,99.21,99.21
37844,114514,1083,Cycling Gloves,Sports & Outdoors,3,104.84,314.52
15367,106073,1016,Phone Stand,Electronics,1,246.15,246.15
21241,108421,1035,Designing Data-Intensive Apps,Books,2,16.52,33.04
7232,102817,1005,Webcam HD,Electronics,1,140.61,140.61
11790,104647,1035,Designing Data-Intensive Apps,Books,1,16.52,16.52
27702,111007,1037,The Signal and the Noise,Books,2,31.66,63.32
12347,104862,1093,Frisbee,Sports & Outdoors,2,55.48,110.96
18619,107386,1023,Mini Projector,Electronics,1,46.86,46.86
44632,116842,1021,Noise Cancelling Headphones,Electronics,2,218.05,436.1
29393,111628,1081,Dumbbell Set 5kg,Sports & Outdoors,2,19.67,39.34
36438,114021,1015,USB Flash Drive 64GB,Electronics,1,,
47718,117921,1112,Deodorant Roll-On,Beauty & Health,1,32.11,32.11
26330,110459,1103,Hand Cream Set,Beauty & Health,1,29.28,29.28
6125,102389,1012,E-Reader Case,Electronics,1,118.23,118.23
41565,115786,1134,Beanie Hat Knit,Clothing & Accessories,1,49.76,49.76
24523,109750,1079,Water Bottle 1L,Sports & Outdoors,1,48.51,48.51
37593,114431,1094,Cooling Towel,Sports & Outdoors,2,105.06,210.12
37188,114291,1141,Zip Hoodie,Clothing & Accessories,1,56.64,56.64
25541,110145,1126,Cotton T-Shirt Basic,Clothing & Accessories,2,30.55,61.1
28019,111131,1142,Swim Shorts,Clothing & Accessories,2,51.23,102.46
19740,107840,1023,Mini Projector,Electronics,1,46.86,46.86
6376,102481,1007,Gaming Mouse,Electronics,1,32.27,32.27
9582,103776,1144,Slippers Memory Foam,Clothing & Accessories,2,65.0,130.0
38794,114823,1112,Deodorant Roll-On,Beauty & Health,1,32.11,32.11
7950,103108,1068,Water Filter Pitcher,Home & Kitchen,1,16.77,16.77
22006,108730,1037,The Signal and the Noise,Books,1,31.66,31.66
39714,115140,1048,Sapiens,Books,1,9.72,9.72
40663,115469,1087,Camping Mug,Sports & Outdoors,1,63.05,63.05
44940,116951,1146,Polo Shirt,Clothing & Accessories,3,10.23,30.69
43321,116389,1020,Power Strip 6-outlet,Electronics,1,261.11,261.11
8367,103281,1129,Baseball Cap,Clothing & Accessories,1,14.76,14.76
30182,111895,1008,LED Desk Lamp,Electronics,2,203.07,406.14
24406,109701,1041,Data Smart,Books,2,23.16,46.32
20607,108162,1085,Hiking Socks 3-Pack,Sports & Outdoors,1,35.14,35.14
7629,102981,1031,Atomic Habits,Books,2,34.72,69.44
9974,103927,1134,Beanie Hat Knit,Clothing & Accessories,1,49.76,49.76
32766,112772,1043,The Lean Startup,Books,1,18.78,18.78
31396,112304,1071,Candle Set Scented,Home & Kitchen,2,47.55,95.1
19900,107902,1014,Wireless Mouse,Electronics,3,50.41,151.23
31788,112436,1103,Hand Cream Set,Beauty & Health,1,29.28,29.28
31587,112372,1054,Toaster 2-Slice,Home & Kitchen,3,18.81,56.43
17829,107069,1116,First Aid Kit Basic,Beauty & Health,1,9.01,9.01
19632,107800,1071,Candle Set Scented,Home & Kitchen,1,47.55,47.55
4616,101815,1083,Cycling Gloves,Sports & Outdoors,1,104.84,104.84
45972,117308,1091,Tennis Balls 3-Pack,Sports & Outdoors,2,90.74,181.48
21321,108455,1013,HDMI Cable 2m,Electronics,2,287.28,574.56
8349,103272,1078,Jump Rope Speed,Sports & Outdoors,1,25.07,25.07
12852,105069,1107,Electric Toothbrush,Beauty & Health,1,27.75,27.75
6821,102652,1137,Umbrella Compact,Clothing & Accessories,1,53.12,53.12
7392,102881,1049,Factfulness,Books,2,34.9,69.8
34540,113374,1100,Sports Tape Roll,Sports & Outdoors,1,119.92,119.92
24152,109594,1134,Beanie Hat Knit,Clothing & Accessories,1,49.76,49.76
23324,109261,1040,Naked Statistics,Books,2,15.15,30.3
8371,103283,1036,Storytelling with Data,Books,1,13.7,13.7
24296,109653,1125,Tweezers Precision,Beauty & Health,1,38.58,38.58
5743,102242,1062,Wine Opener Set,Home & Kitchen,2,71.51,143.02
18954,107520,1069,Lunch Box Insulated,Home & Kitchen,2,15.47,30.94
21049,108341,1025,Ring Light,Electronics,1,199.18,199.18
41149,115640,1068,Water Filter Pitcher,Home & Kitchen,1,16.77,16.77
32261,112597,1034,The Art of Statistics,Books,3,14.18,42.54
40571,115439,1139,Watch Strap Nylon,Clothing & Accessories,1,16.96,16.96
9261,103647,1054,Toaster 2-Slice,Home & Kitchen,2,18.81,37.62
39170,114954,1085,Hiking Socks 3-Pack,Sports & Outdoors,1,35.14,35.14
45055,116992,1076,Yoga Mat 6mm,Sports & Outdoors,1,119.48,119.48
45423,117113,1085,Hiking Socks 3-Pack,Sports & Outdoors,1,35.14,35.14
12928,105102,1021,Noise Cancelling Headphones,Electronics,1,218.05,218.05
45497,117140,1102,Sunscreen SPF50,Beauty & Health,2,47.43,94.86
22367,108875,1099,Bike Light Set,Sports & Outdoors,1,71.44,71.44
17357,106874,1069,Lunch Box Insulated,Home & Kitchen,1,15.47,15.47
32008,112517,1122,Cotton Pads 100pk,Beauty & Health,1,31.14,31.14
25338,110070,1145,Workout Leggings,Clothing & Accessories,1,37.53,37.53
36904,114193,1143,Pyjama Set,Clothing & Accessories,1,41.75,41.75
1267,100503,1041,Data Smart,Books,3,23.16,69.48
44982,116963,1098,Trekking Poles,Sports & Outdoors,1,59.86,59.86
15168,105994,1081,Dumbbell Set 5kg,Sports & Outdoors,1,19.67,19.67
27294,110845,1005,Webcam HD,Electronics,1,140.61,140.61
41601,115797,1072,Photo Frame 20x30,Home & Kitchen,3,30.94,92.82
10226,104032,1038,Algorithms to Live By,Books,1,25.7,25.7
31537,112355,1024,Smart Watch Band,Electronics,1,52.67,52.67
45428,117115,1002,USB-C Hub,Electronics,3,100.36,301.08
47945,117996,1013,HDMI Cable 2m,Electronics,1,287.28,287.28
32782,112781,1105,Hair Brush Detangling,Beauty & Health,1,23.95,23.95
40391,115377,1025,Ring Light,Electronics,1,199.18,199.18
45690,117203,1024,Smart Watch Band,Electronics,1,52.67,52.67
35166,113583,1060,Dish Drying Rack,Home & Kitchen,1,,
13018,105135,1041,Data Smart,Books,2,23.16,46.32
13934,105514,1103,Hand Cream Set,Beauty & Health,1,29.28,29.28
31821,112446,1003,Portable Charger,Electronics,2,226.79,453.58
22654,108986,1090,Pull-Up Bar,Sports & Outdoors,1,57.75,57.75
26347,110464,1135,Scarf Lightweight,Clothing & Accessories,1,52.51,52.51
38027,114572,1073,Wall Clock Minimal,Home & Kitchen,1,43.43,43.43
38848,114839,1120,Massage Ball Set,Beauty & Health,1,34.73,34.73
34697,113426,1016,Phone Stand,Electronics,1,246.15,246.15
32692,112746,1026,Python Crash Course,Books,1,,
47835,117961,1120,Massage Ball Set,Beauty & Health,1,34.73,34.73
17359,106875,1143,Pyjama Set,Clothing & Accessories,2,41.75,83.5
28280,111231,1107,Electric Toothbrush,Beauty & Health,1,27.75,27.75
29835,111780,1113,Vitamin D Supplements,Beauty & Health,3,7.86,23.58
1667,100649,1072,Photo Frame 20x30,Home & Kitchen,1,30.94,30.94
15103,105969,1018,Screen Protector Pack,Electronics,1,128.72,128.72
9892,103896,1013,HDMI Cable 2m,Electronics,1,287.28,287.28
25522,110139,1106,Nail Clipper Set,Beauty & Health,1,18.26,18.26
2574,101000,1033,Deep Work,Books,1,30.76,30.76
15389,106082,1126,Cotton T-Shirt Basic,Clothing & Accessories,3,30.55,91.65
45592,117171,1048,Sapiens,Books,1,9.72,9.72
44448,116780,1139,Watch Strap Nylon,Clothing & Accessories,1,16.96,16.96
5468,102128,1080,Foam Roller,Sports & Outdoors,1,36.85,36.85
1384,100545,1128,Wool Socks 3-Pack,Clothing & Accessories,2,74.9,149.8
32904,112825,1012,E-Reader Case,Electronics,1,118.23,118.23
39511,115068,1113,Vitamin D Supplements,Beauty & Health,1,7.86,7.86
2659,101033,1067,Spice Jar Set,Home & Kitchen,1,79.36,79.36
10016,103945,1147,Linen Shirt,Clothing & Accessories,2,51.41,102.82
25631,110180,1091,Tennis Balls 3-Pack,Sports & Outdoors,1,90.74,90.74
13762,105440,1068,Water Filter Pitcher,Home & Kitchen,3,16.77,50.31
13714,105421,1028,Clean Code,Books,1,25.5,25.5
30155,111887,1098,Trekking Poles,Sports & Outdoors,1,59.86,59.86
22300,108845,1144,Slippers Memory Foam,Clothing & Accessories,2,65.0,130.0
5771,102254,1047,The Black Swan,Books,1,29.39,29.39
41345,115710,1110,Body Lotion 200ml,Beauty & Health,3,12.74,38.22
8626,103387,1003,Portable Charger,Electronics,1,226.79,226.79
42824,116216,1115,Protein Bars 12-Pack,Beauty & Health,3,12.87,38.61
8102,103170,1062,Wine Opener Set,Home & Kitchen,1,71.51,71.51
30639,112053,1004,Bluetooth Speaker,Electronics,2,269.46,538.92
39104,114930,1095,Compression Sleeves,Sports & Outdoors,1,32.54,32.54
38725,114800,1138,Wallet RFID-Block,Clothing & Accessories,1,18.73,18.73
3269,101287,1058,Food Storage Containers,Home & Kitchen,1,82.1,82.1
43380,116410,1059,Tea Kettle Stainless,Home & Kitchen,1,33.58,33.58
41787,115860,1034,The Art of Statistics,Books,1,14.18,14.18
44625,116839,1060,Dish Drying Rack,Home & Kitchen,1,58.11,58.11
29976,111826,1024,Smart Watch Band,Electronics,1,52.67,52.67
11987,104719,1139,Watch Strap Nylon,Clothing & Accessories,3,16.96,50.88
6640,102582,1038,Algorithms to Live By,Books,1,25.7,25.7
40052,115256,1114,Magnesium Tablets,Beauty & Health,1,30.14,30.14
20266,108040,1023,Mini Projector,Electronics,1,46.86,46.86
28189,111195,1083,Cycling Gloves,Sports & Outdoors,1,104.84,104.84
22309,108851,1065,Mixing Bowl Set,Home & Kitchen,2,79.42,158.84
29278,111582,1089,Ab Wheel Roller,Sports & Outdoors,1,22.47,22.47
41406,115731,1065,Mixing Bowl Set,Home & Kitchen,1,79.42,79.42
28781,111409,1058,Food Storage Containers,Home & Kitchen,1,82.1,82.1
47354,117797,1037,The Signal and the Noise,Books,1,31.66,31.66
45374,117100,1084,Swim Goggles,Sports & Outdoors,1,37.7,37.7
24862,109888,1031,Atomic Habits,Books,3,34.72,104.16
28989,111482,1098,Trekking Poles,Sports & Outdoors,1,59.86,59.86
36451,114027,1056,Cutting Board Bamboo,Home & Kitchen,3,79.19,237.57
6779,102635,1104,Lip Balm 3-Pack,Beauty & Health,3,25.05,75.15
13642,105391,1025,Ring Light,Electronics,1,199.18,199.18
21044,108339,1006,Mechanical Keyboard,Electronics,2,84.91,169.82
18150,107201,1120,Massage Ball Set,Beauty & Health,1,34.73,34.73
5207,102035,1076,Yoga Mat 6mm,Sports & Outdoors,1,119.48,119.48
21992,108726,1046,Freakonomics,Books,1,10.96,10.96
28048,111142,1119,Essential Oil Set,Beauty & Health,1,49.51,49.51
26080,110359,1133,Waterproof Jacket,Clothing & Accessories,2,64.19,128.38
13708,105419,1044,Measure What Matters,Books,1,34.93,34.93
36154,113925,1018,Screen Protector Pack,Electronics,1,128.72,128.72
35552,113712,1067,Spice Jar Set,Home & Kitchen,1,79.36,79.36
30519,112009,1054,Toaster 2-Slice,Home & Kitchen,1,18.81,18.81
41746,115848,1091,Tennis Balls 3-Pack,Sports & Outdoors,1,90.74,90.74
41639,115808,1126,Cotton T-Shirt Basic,Clothing & Accessories,1,30.55,30.55
1865,100725,1123,Hairband Set Elastic,Beauty & Health,1,15.21,15.21
26933,110698,1012,E-Reader Case,Electronics,2,118.23,236.46
2363,100917,1108,Dental Floss 6-Pack,Beauty & Health,2,52.87,105.74
29029,111495,1031,Atomic Habits,Books,1,34.72,34.72
6877,102676,1096,Gym Bag 40L,Sports & Outdoors,1,57.56,57.56
7865,103076,1002,USB-C Hub,Electronics,2,100.36,200.72
29350,111609,1015,USB Flash Drive 64GB,Electronics,1,257.21,257.21
2684,101045,1144,Slippers Memory Foam,Clothing & Accessories,1,65.0,65.0
6086,102376,1074,Throw Pillow Cover,Home & Kitchen,1,52.6,52.6
38036,114575,1123,Hairband Set Elastic,Beauty & Health,1,15.21,15.21
42463,116096,1057,Kitchen Scale Digital,Home & Kitchen,1,49.55,49.55
13634,105388,1087,Camping Mug,Sports & Outdoors,1,63.05,63.05
27793,111042,1060,Dish Drying Rack,Home & Kitchen,1,58.11,58.11
17405,106894,1013,HDMI Cable 2m,Electronics,1,,
11116,104379,1149,Crossbody Bag,Clothing & Accessories,2,37.8,75.6
9434,103719,1108,Dental Floss 6-Pack,Beauty & Health,2,52.87,105.74
28359,111264,1112,Deodorant Roll-On,Beauty & Health,1,32.11,32.11
32779,112778,1050,Range,Books,1,34.22,34.22
47086,117698,1094,Cooling Towel,Sports & Outdoors,2,105.06,210.12
38801,114825,1143,Pyjama Set,Clothing & Accessories,1,41.75,41.75
21585,108566,1133,Waterproof Jacket,Clothing & Accessories,1,64.19,64.19
2280,100881,1056,Cutting Board Bamboo,Home & Kitchen,1,79.19,79.19
17350,106871,1141,Zip Hoodie,Clothing & Accessories,1,56.64,56.64
22364,108874,1027,Data Science Handbook,Books,1,15.21,15.21
40028,115249,1100,Sports Tape Roll,Sports & Outdoors,1,119.92,119.92
42625,116155,1012,E-Reader Case,Electronics,1,118.23,118.23
28825,111424,1065,Mixing Bowl Set,Home & Kitchen,1,79.42,79.42
6942,102701,1046,Freakonomics,Books,1,10.96,10.96
21767,108640,1037,The Signal and the Noise,Books,1,31.66,31.66
40616,115453,1141,Zip Hoodie,Clothing & Accessories,1,56.64,56.64
29884,111795,1114,Magnesium Tablets,Beauty & Health,1,30.14,30.14
40145,115290,1059,Tea Kettle Stainless,Home & Kitchen,2,33.58,67.16
12778,105040,1010,Digital Thermometer,Electronics,1,246.78,246.78
38669,114782,1142,Swim Shorts,Clothing & Accessories,3,51.23,153.69
41079,115616,1013,HDMI Cable 2m,Electronics,1,287.28,287.28
30187,111897,1072,Photo Frame 20x30,Home & Kitchen,1,30.94,30.94
29638,111714,1067,Spice Jar Set,Home & Kitchen,1,79.36,79.36
28272,111227,1132,Canvas Backpack,Clothing & Accessories,1,34.02,34.02
46806,117600,1105,Hair Brush Detangling,Beauty & Health,1,23.95,23.95
15707,106221,1021,Noise Cancelling Headphones,Electronics,1,218.05,218.05
33663,113081,1063,Ice Cube Tray Silicone,Home & Kitchen,2,10.05,20.1
29097,111517,1011,Action Camera,Electronics,3,245.79,737.37
2877,101117,1096,Gym Bag 40L,Sports & Outdoors,1,57.56,57.56
13526,105344,1135,Scarf Lightweight,Clothing & Accessories,1,52.51,52.51
6015,102351,1130,Sunglasses UV400,Clothing & Accessories,2,27.24,54.48
16601,106568,1030,SQL in 10 Minutes,Books,1,12.41,12.41
14175,105603,1061,Oven Mitts Pair,Home & Kitchen,1,70.24,70.24
24480,109730,1090,Pull-Up Bar,Sports & Outdoors,1,57.75,57.75
1041,100410,1133,Waterproof Jacket,Clothing & Accessories,1,64.19,64.19
4481,101761,1021,Noise Cancelling Headphones,Electronics,1,218.05,218.05
4644,101825,1037,The Signal and the Noise,Books,1,31.66,31.66
11530,104540,1067,Spice Jar Set,Home & Kitchen,1,79.36,79.36
35427,113670,1097,Insulated Flask,Sports & Outdoors,1,38.98,38.98
3148,101234,1039,How Charts Lie,Books,1,32.69,32.69
14578,105762,1119,Essential Oil Set,Beauty & Health,1,49.51,49.51
45016,116975,1119,Essential Oil Set,Beauty & Health,1,49.51,49.51
44415,116770,1057,Kitchen Scale Digital,Home & Kitchen,1,49.55,49.55
26248,110430,1135,Scarf Lightweight,Clothing & Accessories,1,52.51,52.51
23778,109445,1134,Beanie Hat Knit,Clothing & Accessories,1,49.76,49.76
3529,101390,1037,The Signal and the Noise,Books,1,31.66,31.66
29801,111769,1048,Sapiens,Books,1,9.72,9.72
37983,114559,1141,Zip Hoodie,Clothing & Accessories,3,56.64,169.92
36234,113953,1138,Wallet RFID-Block,Clothing & Accessories,2,18.73,37.46
17792,107057,1059,Tea Kettle Stainless,Home & Kitchen,1,33.58,33.58
43952,116614,1007,Gaming Mouse,Electronics,1,32.27,32.27
23267,109237,1054,Toaster 2-Slice,Home & Kitchen,2,18.81,37.62
17011,106731,1136,Gloves Touchscreen,Clothing & Accessories,1,63.11,63.11
31298,112267,1087,Camping Mug,Sports & Outdoors,1,63.05,63.05
41138,115637,1045,Good Strategy Bad Strategy,Books,2,10.45,20.9
36679,114110,1004,Bluetooth Speaker,Electronics,2,269.46,538.92
40453,115398,1032,Thinking Fast and Slow,Books,2,23.04,46.08
28003,111126,1004,Bluetooth Speaker,Electronics,1,269.46,269.46
21749,108633,1042,Business Model Generation,Books,1,,
7702,103012,1100,Sports Tape Roll,Sports & Outdoors,1,119.92,119.92
33774,113120,1072,Photo Frame 20x30,Home & Kitchen,1,30.94,30.94
31646,112392,1065,Mixing Bowl Set,Home & Kitchen,1,79.42,79.42
28826,111425,1025,Ring Light,Electronics,1,199.18,199.18
2158,100833,1137,Umbrella Compact,Clothing & Accessories,2,53.12,106.24
37676,114458,1036,Storytelling with Data,Books,1,13.7,13.7
29588,111696,1049,Factfulness,Books,1,34.9,34.9
22021,108737,1014,Wireless Mouse,Electronics,1,50.41,50.41
20552,108143,1031,Atomic Habits,Books,1,34.72,34.72
4166,101638,1145,Workout Leggings,Clothing & Accessories,1,37.53,37.53
33068,112876,1142,Swim Shorts,Clothing & Accessories,1,51.23,51.23
16704,106608,1140,Tote Bag Canvas,Clothing & Accessories,1,27.7,27.7
17576,106964,1090,Pull-Up Bar,Sports & Outdoors,1,57.75,57.75
26202,110409,1093,Frisbee,Sports & Outdoors,2,55.48,110.96
47283,117769,1105,Hair Brush Detangling,Beauty & Health,1,23.95,23.95
18755,107441,1023,Mini Projector,Electronics,1,46.86,46.86
24527,109753,1029,The Pragmatic Programmer,Books,1,12.62,12.62
1712,100665,1016,Phone Stand,Electronics,1,246.15,246.15
14753,105830,1009,Smart Plug,Electronics,1,85.4,85.4
7807,103054,1029,The Pragmatic Programmer,Books,2,12.62,25.24
38107,114596,1115,Protein Bars 12-Pack,Beauty & Health,1,12.87,12.87
27822,111056,1122,Cotton Pads 100pk,Beauty & Health,1,31.14,31.14
13391,105287,1126,Cotton T-Shirt Basic,Clothing & Accessories,1,30.55,30.55
35382,113656,1120,Massage Ball Set,Beauty & Health,3,34.73,104.19
24313,109661,1118,Eye Mask Sleep,Beauty & Health,2,16.76,33.52
34759,113445,1110,Body Lotion 200ml,Beauty & Health,1,12.74,12.74
224,100088,1016,Phone Stand,Electronics,2,246.15,492.3
24754,109843,1126,Cotton T-Shirt Basic,Clothing & Accessories,1,30.55,30.55
18321,107269,1040,Naked Statistics,Books,2,15.15,30.3
14691,105807,1109,Face Mask Sheet Pack,Beauty & Health,1,32.79,32.79
